OBJECTID;weight;node_id;nps_dn;p_max
134;360000.000000000000000;GS-2032;150;16
135;25200000.000000000000000;GS-1433;600;70
136;360000.000000000000000;GS-0970;150;16
137;360000.000000000000000;GS-0968;150;16
138;360000.000000000000000;GS-0962;150;16
139;360000.000000000000000;GS-0975;150;16
140;360000.000000000000000;GS-0921;150;16
141;11200000.000000000000000;GS-1325;400;70
142;360000.000000000000000;GS-0912;150;16
143;400000.000000000000000;GS-0911;200;10
144;720000.000000000000000;GS-0887;300;8
145;360000.000000000000000;GS-1996;150;16
146;500000.000000000000000;GS-0919;250;8
147;17500000.000000000000000;GS-0954;500;70
148;360000.000000000000000;GS-1889;150;16
149;17500000.000000000000000;GS-0956;500;70
150;640000.000000000000000;GS-2266;200;16
151;500000.000000000000000;GS-2127;250;8
152;640000.000000000000000;GS-2132;200;16
153;61370000.000000000000000;GS-3490;950;68
154;55080000.000000000000000;GS-2709;900;68
155;55080000.000000000000000;GS-2901;900;68
156;55080000.000000000000000;GS-2711;900;68
157;2800000.000000000000000;GS-1839;200;70
158;13440000.000000000000000;GS-3995;400;84
159;640000.000000000000000;GS-1604;200;16
160;640000.000000000000000;GS-1605;200;16
161;25200000.000000000000000;GS-2692;600;70
162;68040000.000000000000000;GS-6402;900;84
163;2800000.000000000000000;GS-1083;200;70
164;81000000.000000000000000;GS-2330;900;100
165;64000000.000000000000000;GS-4014;800;100
166;2800000.000000000000000;GS-2253;200;70
167;144000000.000000000000000;GS-0551;1200;100
168;2320000.000000000000000;GS-3502;200;58
169;7200000.000000000000000;GS-3221;300;80
170;2700000.000000000000000;GS-4328;200;68
171;39200000.000000000000000;GS-2566;700;80
172;17500000.000000000000000;GS-4086;500;70
173;5760000.000000000000000;GS-4346;300;64
174;2700000.000000000000000;GS-4355;200;68
175;640000.000000000000000;GS-4286;100;64
176;5760000.000000000000000;GS-4322;300;64
177;2560000.000000000000000;GS-4318;200;64
178;5760000.000000000000000;GS-4334;300;64
179;700000.000000000000000;GS-4363;100;70
180;6075000.000000000000000;GS-4326;300;68
181;20000000.000000000000000;GS-7273;500;80
182;1518750.000000000000000;GS-4574;150;68
183;2700000.000000000000000;GS-4562;200;68
184;1518750.000000000000000;GS-4639;150;68
185;6300000.000000000000000;GS-7271;300;70
186;2800000.000000000000000;GS-4423;200;70
187;7200000.000000000000000;GS-0807;300;80
